date,India_Imports_Russia,India_Exports_Russia
2016-01-01,236615919.094,134667325.756
2016-02-01,384746041.282,132962350.527
2016-03-01,381398766.916,153906611.325
2016-04-01,511027886.635,133738651.788
2016-05-01,367168555.551,216231981.067
2016-06-01,348473979.341,161358209.877
2016-07-01,400569489.875,135277375.202
2016-08-01,319284730.265,131563916.034
2016-09-01,423921579.403,155133075.0
2016-10-01,567628161.02,151777451.261
2016-11-01,433850393.997,138534807.204
2016-12-01,410029908.449,169042498.946
