date,India_Imports_USA,India_Exports_USA
2016-01-01,1638411268.311,3466973278.868
2016-02-01,2513072237.854,3184888803.262
2016-03-01,1441395174.629,3493088033.927
2016-04-01,1210528787.786,3259702562.699
2016-05-01,1477628985.327,3585872795.133
2016-06-01,1469696563.022,3396086734.15
2016-07-01,1798522157.856,3701435941.349
2016-08-01,1526948640.841,3588388323.995
2016-09-01,1793968754.571,3605089864.805
2016-10-01,1931930747.385,4270628656.793
2016-11-01,1657716633.85,2967599917.587
2016-12-01,1917972627.556,3486247432.733
